Datum;Regen_(L/m2_mm);Quellwasser_imNetz_absolut;Quellwasser_imNetz_prozent;Grundwasser_imNetz_absolut;Grundwasser_imNetz_prozent;NiederschlagZweisimmen
01.01.2020;0;5176;75;1724;25;0
02.01.2020;0;5318;77;1583;23;0
03.01.2020;0;4992;75;1641;25;0.4
04.01.2020;0;4975;79;1302;21;0
05.01.2020;0;5080;87;774;13;0
06.01.2020;0;4958;84;931;16;0
07.01.2020;0;4809;88;629;12;0
08.01.2020;0;4399;79;1144;21;0
09.01.2020;0;4791;88;654;12;0
10.01.2020;0;4474;81;1065;19;0
11.01.2020;0;4490;79;1198;21;0
12.01.2020;0;4448;80;1092;20;0
13.01.2020;0;4404;80;1126;20;0
14.01.2020;0;4396;80;1103;20;0
15.01.2020;0;4588;88;649;12;0
16.01.2020;0;4288;82;960;18;0
17.01.2020;0;4128;76;1320;24;7.2
18.01.2020;0;4573;81;1053;19;1.2
19.01.2020;0;4210;73;1592;27;0
20.01.2020;0;4351;72;1726;28;0
21.01.2020;0;3783;68;1741;32;0
22.01.2020;0;4021;76;1303;24;0
23.01.2020;0;4031;75;1359;25;0
24.01.2020;0;4166;74;1471;26;0
25.01.2020;0;3999;68;1869;32;0
26.01.2020;0;3676;64;2057;36;0
27.01.2020;0;4053;72;1547;28;1.6
28.01.2020;0;3669;67;1796;33;10.7
29.01.2020;0;3948;74;1411;26;6.5
30.01.2020;0;3533;65;1941;35;3.4
31.01.2020;0;4395;78;1231;22;1.7
01.02.2020;0;4435;78;1271;22;1.7
02.02.2020;0;4508;82;1016;18;21.6
03.02.2020;0;2484;41;3604;59;0.1
04.02.2020;0;3323;57;2514;43;21.3
05.02.2020;0;4349;73;1600;27;0.8
06.02.2020;0;4459;72;1736;28;0
07.02.2020;0;4814;78;1327;22;0
08.02.2020;0;5256;84;995;16;0
09.02.2020;0;5388;89;641;11;0.2
10.02.2020;0;5187;85;940;15;6.5
11.02.2020;0;4788;83;992;17;3.7
12.02.2020;0;5389;90;632;10;0.1
13.02.2020;0;5211;84;997;16;13.6
14.02.2020;0;5543;87;841;13;2.6
15.02.2020;0;5495;85;945;15;0
16.02.2020;0;5305;86;881;14;0
17.02.2020;0;5212;81;1192;19;5.6
18.02.2020;0;5769;92;475;8;0
19.02.2020;0;5113;82;1138;18;2.7
20.02.2020;0;5265;85;912;15;0
21.02.2020;0;5233;83;1086;17;0.1
22.02.2020;0;5465;85;977;15;0
23.02.2020;0;5095;85;922;15;0
24.02.2020;0;5272;88;735;12;0
25.02.2020;0;5105;87;769;13;4.8
26.02.2020;0;4833;84;922;16;8
27.02.2020;0;5324;92;443;8;10.6
28.02.2020;0;5075;87;789;13;0
