Datum;Regen_(L/m2_mm);Quellwasser_imNetz_absolut;Quellwasser_imNetz_prozent;Grundwasser_imNetz_absolut;Grundwasser_imNetz_prozent;NiederschlagZweisimmen
01.03.2020;0;4926;89;595;11;8.6
02.03.2020;0;4819;88;631;12;4.3
03.03.2020;0;4977;92;433;8;8.6
04.03.2020;0;4817;89;588;11;3.5
05.03.2020;0;3796;70;1615;30;0
06.03.2020;0;4910;89;635;11;18.9
07.03.2020;0;5183;92;436;8;1.3
08.03.2020;0;4776;90;513;10;0.9
09.03.2020;0;4939;93;362;7;0
10.03.2020;0;4622;77;1396;23;7
11.03.2020;0;4703;95;269;5;10
12.03.2020;0;4086;82;920;18;0
13.03.2020;0;2521;49;2618;51;6.2
14.03.2020;0;3951;79;1074;21;0.7
15.03.2020;0;4682;97;136;3;0
16.03.2020;0;4465;92;398;8;0
17.03.2020;0;4654;97;158;3;0
18.03.2020;0;4550;97;131;3;0
19.03.2020;0;4558;97;132;3;0
20.03.2020;0;4315;94;291;6;0
21.03.2020;0;4288;100;1;0;9.4
22.03.2020;0;4119;100;2;0;0.1
23.03.2020;0;4295;96;190;4;0
24.03.2020;0;3894;86;658;14;0
25.03.2020;0;4323;92;390;8;0
26.03.2020;0;4685;100;1;0;0
27.03.2020;0;4465;100;2;0;0
28.03.2020;0;4331;100;1;0;0
29.03.2020;0;3848;95;209;5;0
30.03.2020;0;4232;97;151;3;1.5
31.03.2020;0;3740;86;621;14;0
01.04.2020;0;4417;100;2;0;0
02.04.2020;0;4382;100;1;0;0
03.04.2020;0;4039;90;429;10;0
04.04.2020;0;4006;94;257;6;0
05.04.2020;0;3926;95;210;5;0
06.04.2020;0;4379;89;523;11;0
07.04.2020;0;4143;85;734;15;0
08.04.2020;0;4620;88;637;12;0
09.04.2020;0;4763;97;137;3;0
10.04.2020;0;4187;95;243;5;0
11.04.2020;0;4192;91;421;9;0
12.04.2020;0;4257;95;214;5;0
13.04.2020;0;4290;91;421;9;0
14.04.2020;0;3819;76;1209;24;0
15.04.2020;0;4637;92;429;8;0
16.04.2020;0;5101;95;290;5;0
17.04.2020;0;4734;82;1053;18;0
18.04.2020;0;4415;82;984;18;0
19.04.2020;0;4364;88;570;12;0.8
20.04.2020;0;4640;81;1066;19;0.1
21.04.2020;0;4543;81;1092;19;0
22.04.2020;0;5381;85;924;15;0
23.04.2020;0;4428;68;2101;32;0
24.04.2020;0;5077;79;1334;21;0
25.04.2020;0;4641;86;726;14;0
26.04.2020;0;4409;93;350;7;0.2
27.04.2020;0;4424;84;858;16;4.6
28.04.2020;0;4287;86;690;14;0.9
29.04.2020;0;4858;97;136;3;24.5
30.04.2020;0;4708;97;136;3;5.4
01.05.2020;0;4326;90;458;10;9.2
02.05.2020;0;3988;86;652;14;3.8
03.05.2020;0;4487;100;1;0;12.2
04.05.2020;0;4131;81;949;19;0.4
05.05.2020;0;4217;86;672;14;0
06.05.2020;0;4713;94;284;6;5.9
07.05.2020;0;4824;100;-5;0;0
08.05.2020;0;5046;98;128;2;0
09.05.2020;0;4908;100;0;0;0
10.05.2020;0;4564;100;0;0;0
11.05.2020;0;4771;95;247;5;1.9
12.05.2020;0;4973;98;98;2;8.1
13.05.2020;0;4840;100;2;0;1
14.05.2020;0;4627;100;1;0;3.9
15.05.2020;0;4621;100;2;0;1.9
16.05.2020;0;4496;100;1;0;0.1
17.05.2020;0;4342;100;1;0;0
18.05.2020;0;4993;91;493;9;0
19.05.2020;0;4946;97;135;3;0
20.05.2020;0;5184;92;461;8;0
21.05.2020;0;4672;92;433;8;0
22.05.2020;0;4986;92;460;8;0
23.05.2020;0;4642;97;137;3;0
24.05.2020;0;4398;100;1;0;10.8
25.05.2020;0;4571;91;453;9;0
26.05.2020;0;3838;73;1401;27;0
27.05.2020;0;3583;66;1820;34;0
28.05.2020;0;4962;91;519;9;0
29.05.2020;0;4574;77;1398;23;0
30.05.2020;0;4662;84;862;16;0
31.05.2020;0;4594;85;783;15;0
01.06.2020;0;4535;80;1106;20;0
02.06.2020;0;4694;77;1431;23;0
03.06.2020;0;3892;70;1654;30;0
04.06.2020;0;3250;60;2177;40;2.1
05.06.2020;0;4418;90;515;10;6.6
06.06.2020;0;4403;93;312;7;1.6
07.06.2020;0;3940;89;508;11;0.4
08.06.2020;0;4603;81;1067;19;9
09.06.2020;0;4103;84;755;16;4.6
10.06.2020;0;4092;79;1062;21;3.2
11.06.2020;0;4082;77;1250;23;5
12.06.2020;0;4485;81;1033;19;0.1
13.06.2020;0;3799;72;1471;28;0
14.06.2020;0;4126;84;808;16;9.9
15.06.2020;0;4184;79;1145;21;1.1
16.06.2020;0;4110;79;1122;21;0.8
17.06.2020;0;4254;79;1116;21;0.8
18.06.2020;0;3946;76;1280;24;14.2
19.06.2020;0;3691;70;1582;30;0.8
20.06.2020;0;3707;70;1586;30;0.9
21.06.2020;0;3669;72;1440;28;0
22.06.2020;0;4388;77;1274;23;0
23.06.2020;0;4467;75;1511;25;0
24.06.2020;0;4688;71;1912;29;0
25.06.2020;0;4738;71;1976;29;0
26.06.2020;0;4313;69;1943;31;11.6
27.06.2020;0;4346;75;1454;25;0.8
28.06.2020;0;3987;77;1194;23;3.6
29.06.2020;0;4166;75;1401;25;5.1
30.06.2020;0;4431;77;1307;23;19.2
01.07.2020;0;4422;74;1523;26;0
02.07.2020;0;3786;66;1981;34;8.9
03.07.2020;0;3912;66;2009;34;0.8
04.07.2020;0;4321;78;1225;22;1.2
05.07.2020;0;4497;79;1171;21;0
06.07.2020;0;4053;64;2284;36;0
07.07.2020;0;3686;55;2957;45;0
08.07.2020;0;4721;70;2038;30;0
09.07.2020;0;4487;71;1861;29;0
10.07.2020;0;4768;75;1565;25;0
11.07.2020;0;3890;76;1257;24;4.1
12.07.2020;0;4516;85;778;15;20.4
13.07.2020;0;4688;78;1297;22;0
14.07.2020;0;4916;82;1079;18;0
15.07.2020;0;4547;79;1199;21;0
16.07.2020;0;4738;79;1289;21;0
17.07.2020;0;4541;76;1465;24;2.2
18.07.2020;0;4539;78;1287;22;0
19.07.2020;0;4576;77;1331;23;0
20.07.2020;0;4919;68;2288;32;0
21.07.2020;0;4136;60;2782;40;0
22.07.2020;0;4106;68;1938;32;4.7
23.07.2020;0;4601;78;1309;22;15.6
24.07.2020;0;4417;76;1423;24;0.1
25.07.2020;0;4700;82;1031;18;3.2
26.07.2020;0;4622;81;1091;19;0
27.07.2020;0;4831;72;1834;28;0
28.07.2020;0;4286;67;2148;33;0
29.07.2020;0;4761;73;1788;27;4.8
30.07.2020;0;4711;66;2413;34;0.1
31.07.2020;0;4591;59;3207;41;0
01.08.2020;0;4070;61;2576;39;0
02.08.2020;0;4093;70;1736;30;17.7
03.08.2020;0;3889;68;1871;32;6.5
04.08.2020;0;4281;77;1293;23;13.6
05.08.2020;0;4775;82;1061;18;7.8
06.08.2020;0;4751;79;1281;21;0
07.08.2020;0;4789;71;1929;29;0
08.08.2020;0;4509;71;1852;29;0
09.08.2020;0;4515;73;1665;27;0
10.08.2020;0;4785;71;2000;29;0
11.08.2020;0;4340;73;1603;27;8.1
12.08.2020;0;4261;70;1836;30;0
13.08.2020;0;4431;77;1322;23;52.8
14.08.2020;0;4528;79;1219;21;19.8
15.08.2020;0;4347;77;1280;23;2.5
16.08.2020;0;4363;80;1079;20;0
17.08.2020;0;3840;69;1727;31;14
18.08.2020;0;4926;86;802;14;2.1
19.08.2020;0;5050;88;679;12;1.7
20.08.2020;0;4676;79;1266;21;0
21.08.2020;0;4955;78;1417;22;0
22.08.2020;0;5018;84;982;16;0
23.08.2020;0;4834;87;752;13;1.2
24.08.2020;0;4909;80;1190;20;0
25.08.2020;0;4500;74;1590;26;0
26.08.2020;0;4859;76;1556;24;0
27.08.2020;0;4985;78;1410;22;0
28.08.2020;0;4597;78;1311;22;0
29.08.2020;0;4574;84;875;16;16.6
30.08.2020;0;4156;81;999;19;10.1
31.08.2020;0;4722;88;639;12;37.9
01.09.2020;0;4970;93;374;7;0.9
02.09.2020;0;5349;97;140;3;0
03.09.2020;0;5056;91;504;9;0
04.09.2020;0;4994;87;727;13;0
05.09.2020;0;4981;91;505;9;0
06.09.2020;0;5007;97;134;3;0
07.09.2020;0;4851;89;610;11;0
08.09.2020;0;5296;97;184;3;0
09.09.2020;0;5038;91;514;9;0
10.09.2020;0;5028;91;519;9;0
11.09.2020;0;4569;87;687;13;0
12.09.2020;0;4632;90;543;10;6.1
13.09.2020;0;4861;97;142;3;0
14.09.2020;0;4608;81;1077;19;0
15.09.2020;0;4956;89;604;11;0
16.09.2020;0;5033;86;820;14;0
17.09.2020;0;4642;77;1414;23;0
18.09.2020;0;4583;78;1315;22;0
19.09.2020;0;4507;90;493;10;0
20.09.2020;0;3924;84;748;16;0.2
21.09.2020;0;2471;51;2417;49;13.6
22.09.2020;0;4238;89;536;11;0.1
23.09.2020;0;4129;89;512;11;8.8
24.09.2020;0;4516;100;1;0;0.1
25.09.2020;0;4231;94;286;6;10.3
26.09.2020;0;4343;100;1;0;15.2
27.09.2020;0;4229;100;1;0;3.8
28.09.2020;0;4657;99;30;1;0
29.09.2020;0;4418;94;283;6;3.2
30.09.2020;0;4556;100;1;0;2.3
01.10.2020;0;4267;94;277;6;0
02.10.2020;0;4656;100;1;0;0.3
03.10.2020;0;4381;100;1;0;1.9
04.10.2020;0;4089;95;204;5;25.1
05.10.2020;0;4593;99;49;1;5.3
06.10.2020;0;4593;100;0;0;0.9
07.10.2020;0;4264;94;288;6;3.5
08.10.2020;0;4608;100;0;0;3.8
09.10.2020;0;4340;93;311;7;0
10.10.2020;0;4385;100;1;0;0
11.10.2020;0;4102;100;1;0;8.9
12.10.2020;0;4483;98;89;2;2.6
13.10.2020;0;4590;100;0;0;0.9
14.10.2020;0;4534;100;1;0;0.3
15.10.2020;0;4244;94;285;6;0.6
16.10.2020;0;4543;98;98;2;0.4
17.10.2020;0;4374;100;2;0;0
18.10.2020;0;4237;100;2;0;0
19.10.2020;0;4569;98;102;2;0
20.10.2020;0;4670;100;2;0;0
21.10.2020;0;4600;100;2;0;0
22.10.2020;0;4431;94;289;6;0
23.10.2020;0;4680;100;16;0;3.6
24.10.2020;0;4159;93;298;7;23.9
25.10.2020;0;4386;100;1;0;2
26.10.2020;0;4289;96;197;4;0
27.10.2020;0;4445;100;0;0;18.7
28.10.2020;0;4321;98;87;2;0
29.10.2020;0;4342;96;166;4;3.2
30.10.2020;0;4554;97;140;3;4.7
31.10.2020;0;4374;99;63;1;0
01.11.2020;0;4173;100;13;0;0
02.11.2020;0;4296;96;202;4;0
03.11.2020;0;4327;100;17;0;0
04.11.2020;0;4464;100;1;0;5.8
05.11.2020;0;4074;90;437;10;3
06.11.2020;0;4583;100;1;0;0
07.11.2020;0;4582;100;2;0;0
08.11.2020;0;4424;100;1;0;0
09.11.2020;0;4269;92;361;8;0
10.11.2020;0;4268;96;170;4;0
11.11.2020;0;4138;99;55;1;0
12.11.2020;0;5011;98;101;2;0
13.11.2020;0;4323;87;657;13;0
14.11.2020;0;4645;100;2;0;0
15.11.2020;0;4440;100;1;0;0
16.11.2020;0;4269;93;303;7;3.9
17.11.2020;0;4556;97;142;3;5.5
18.11.2020;0;4533;95;252;5;0
19.11.2020;0;4347;100;2;0;0
20.11.2020;0;3776;82;833;18;2.6
21.11.2020;0;4678;97;134;3;1
22.11.2020;0;4588;100;1;0;0
23.11.2020;0;4694;97;156;3;0
24.11.2020;0;4720;99;62;1;0
25.11.2020;0;4509;95;230;5;0
26.11.2020;0;4503;94;295;6;0
27.11.2020;0;4835;97;138;3;0
28.11.2020;0;4258;90;488;10;0
29.11.2020;0;3926;81;933;19;0
30.11.2020;0;3167;58;2339;42;0
01.12.2020;0;3745;74;1310;26;0
02.12.2020;0;3476;67;1685;33;4.2
03.12.2020;0;4082;78;1157;22;0.8
04.12.2020;0;4426;90;493;10;0.1
05.12.2020;0;4502;93;314;7;5.3
06.12.2020;0;4132;88;541;12;4.9
07.12.2020;0;3762;72;1431;28;6.2
08.12.2020;0;3553;63;2046;37;1.4
09.12.2020;0;3976;77;1220;23;0.1
10.12.2020;0;3517;60;2393;40;3.1
11.12.2020;0;3938;72;1521;28;0
12.12.2020;0;4387;81;1008;19;0.3
13.12.2020;0;4094;80;1028;20;9.9
14.12.2020;0;4134;76;1275;24;4.2
15.12.2020;0;4310;81;1003;19;0
16.12.2020;0;4058;75;1350;25;0.1
17.12.2020;0;4331;79;1166;21;0
18.12.2020;0;3767;66;1925;34;0
19.12.2020;0;4081;73;1494;27;0
20.12.2020;0;3931;72;1539;28;0
21.12.2020;0;3944;69;1796;31;0
22.12.2020;0;3682;63;2143;37;5.8
23.12.2020;0;5066;90;576;10;0
24.12.2020;0;4484;78;1277;22;1.5
25.12.2020;0;5248;91;522;9;10.5
26.12.2020;0;5126;78;1473;22;4.7
27.12.2020;0;4786;72;1817;28;0
28.12.2020;0;5036;78;1450;22;0
29.12.2020;0;4731;74;1701;26;3.1
30.12.2020;0;4909;75;1657;25;1
31.12.2020;0;4896;73;1822;27;0.4
;;;;;;0.1
